{X 89.8209, Y 87.9728, Z -346.0000, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -132.0966, Z -345.9880, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -133.8669, Z -343.7908, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -132.0839, Z -327.5895, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -131.7098, Z -326.0771, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -130.9589, Z -324.7121, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -130.3367, Z -323.9919, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -129.6085, Z -323.3791, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -128.2662, Z -322.6583, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -126.7856, Z -322.2988, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -105.8407, Z -320.8376, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -84.8454, Z -320.9935, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -81.7758, Z -320.3486, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -79.4235, Z -318.2737, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -78.1497, Z -316.2104, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -77.7804, Z -313.8138, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -77.7793, Z -297.6823, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -77.5339, Z -295.5001, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -76.8182, Z -293.4241, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -76.3419, Z -292.5365, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -75.7788, Z -291.7012, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -73.9678, Z -289.8467, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -71.7409, Z -288.5200, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -69.0784, Z -286.3158, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -68.0412, Z -283.0187, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -67.8897, Z -274.3778, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -65.5096, Z -268.4548, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -59.8002, Z -265.5999, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -58.2453, Z -265.5156, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -56.6892, Z -265.5732, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -51.3390, Z -267.9284, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -48.5642, Z -273.0735, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -46.9281, Z -283.0964, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -44.8641, Z -286.7567, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -40.9226, Z -288.2137, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -12.6873, Z -288.2819, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -11.9817, Z -288.5762, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -10.5702, Z -289.9945, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -9.8647, Z -290.2888, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 31.9616, Z -290.3899, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 34.5958, Z -290.9191, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 36.8366, Z -292.4017, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 38.3509, Z -294.6121, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 38.9237, Z -297.2296, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 39.3822, Z -319.9702, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 40.5992, Z -324.0798, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 43.7430, Z -326.9931, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 48.9060, Z -329.6784, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 50.6737, Z -330.3491, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 52.5488, Z -330.5917, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 81.7714, Z -330.9329, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 85.8711, Z -332.6330, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 87.6809, Z -336.6855, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 87.8846, Z -342.0000, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 85.8950, Z -344.0000, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -129.8645, Z -343.9880, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -131.6348, Z -341.7916, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -130.3604, Z -330.2110, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -129.8237, Z -328.2039, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -128.7215, Z -326.4427, A 0, B 0,  C 0}, grFeedrate 127.32}
